"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
461,23,0,0,1,1,1,0,0,2,15,16,1,1,20,1,6,1,3,5,1,7,2,21,1,4,1,8,14,3,2,1,2,16,6,1,2,2,5,4,1,1,1,22,1,20,4,1,7,15,1,1,1,1,10,2,7,1,1,6,6,13,3,2,2,15,1,8,1,2,2,1,9,1,1,12,1,3,1,1,1,1,2,1,6,3,2,1,3,3,5,8,3,2,1,2,4,1,8,21,1,7,1,3,2,8,1,9,1,1
494,23,0,0,1,1,1,0,0,2,2,2,1,11,2,1,3,17,1,21,2,3,1,18,1,12,2,1,2,1,5,1,10,1,2,2,1,1,4,8,1,2,26,7,11,2,1,1,1,1,5,20,7,1,9,2,1,10,1,2,2,2,4,1,1,1,1,2,4,1,17,1,1,2,5,2,3,2,1,10,2,2,4,5,3,1,8,4,1,4,1,7,2,17,1,1,6,17,6,1,1,7,7,3,1,1,1,2,1,9
11,23,0,0,1,1,0,0,0,3,1,8,1,1,1,3,2,2,9,26,1,3,2,2,3,7,5,2,28,1,8,2,4,9,2,10,7,3,1,1,6,7,1,11,29,6,6,5,1,5,6,1,18,11,1,4,1,4,1,1,6,16,2,4,29,9,9,2,1,2,1,4,4,1,1,2,7,4,2,1,1,6,5,1,5,6,5,24,24,13,6,10,2,14,2,1,12,1,1,2,2,15,1,1,8,15,2,2,1,15
19,23,0,0,1,1,0,0,0,3,16,8,3,3,1,3,5,6,1,17,2,1,6,2,1,26,1,4,1,1,1,4,2,23,3,2,6,4,3,1,5,4,20,1,2,15,3,6,1,22,9,5,4,1,16,3,2,20,1,17,1,5,3,5,8,1,5,3,8,5,2,6,7,6,4,1,16,1,1,4,3,1,1,1,18,1,1,2,17,11,3,2,2,1,3,3,1,1,1,1,16,1,1,3,8,2,3,5,4,2
27,23,0,0,1,1,0,0,0,3,1,1,2,3,1,2,1,1,1,7,4,4,1,1,2,8,1,2,1,11,3,1,8,4,3,5,1,3,2,6,20,2,1,2,4,7,3,6,1,1,1,5,3,1,1,1,1,1,1,26,6,10,1,1,1,14,4,2,1,10,6,1,5,3,7,1,3,2,11,1,9,3,9,1,1,1,1,1,1,22,4,1,1,4,3,2,3,14,1,1,2,13,5,1,6,3,1,20,2,3
51,23,0,0,1,1,1,0,0,3,12,1,6,2,4,6,1,10,5,4,4,1,4,1,1,4,10,7,2,4,4,1,11,1,17,1,8,4,5,1,1,20,2,7,1,10,2,23,6,2,4,1,3,2,1,20,4,7,1,7,6,8,5,1,2,16,13,2,2,11,1,18,1,12,5,1,1,1,1,3,10,15,2,1,16,15,12,1,16,6,1,1,1,17,4,5,20,1,1,2,12,14,4,4,17,13,4,1,2,23
58,23,0,0,1,1,1,0,0,3,17,6,4,6,1,5,2,4,18,3,23,23,2,18,20,11,4,27,5,2,3,2,1,1,13,2,1,12,1,1,4,7,9,1,7,16,3,1,3,6,2,3,5,4,3,2,14,12,18,2,17,2,2,2,1,2,3,2,11,1,10,2,15,1,2,10,5,1,6,5,7,3,1,1,8,2,1,1,1,1,5,1,22,7,6,14,11,1,1,1,3,3,1,1,1,21,1,1,7,1
185,23,0,0,1,1,1,0,0,3,13,3,22,2,4,1,1,21,17,22,2,1,1,20,2,9,1,2,1,1,5,4,1,2,12,2,15,1,26,1,25,2,3,1,2,2,21,2,13,3,6,2,1,13,23,3,2,3,1,11,2,1,1,1,6,11,2,2,8,1,1,2,12,1,1,2,1,21,2,1,2,7,19,1,1,1,1,5,2,7,1,3,1,1,8,1,7,1,2,2,4,2,2,1,3,22,1,3,16,15
209,23,0,0,1,1,0,0,0,3,2,6,2,2,11,4,3,7,1,7,5,1,3,2,3,2,1,1,1,3,3,1,12,1,6,6,2,2,4,1,15,7,6,8,1,3,21,5,3,2,19,4,10,1,5,6,4,5,2,13,24,15,9,8,11,7,4,8,13,4,1,2,5,5,3,4,6,3,1,5,1,2,2,1,14,2,6,5,1,1,3,7,9,2,1,8,7,14,1,2,1,9,1,20,6,1,1,6,2,7
225,21,0,0,1,1,0,0,0,3,3,4,4,1,18,3,2,4,14,1,8,8,23,10,10,25,14,1,9,4,14,1,1,9,2,2,12,1,10,3,6,1,3,2,11,14,8,13,2,2,17,4,5,3,1,21,29,1,9,9,1,2,2,16,6,8,3,4,7,4,3,1,2,4,5,12,4,2,5,7,1,1,1,1,3,1,11,2,4,1,10,17,2,4,6,3,7,3,7,7,1,2,2,1,3,2,1,1,2,5
238,23,0,0,1,1,0,0,0,3,1,4,4,1,2,11,2,2,12,1,2,9,3,1,4,3,12,7,4,5,1,1,2,2,7,2,5,2,4,13,3,28,2,2,1,12,18,1,2,1,1,14,22,2,13,4,3,1,31,1,1,1,7,2,10,15,1,1,2,1,12,13,6,2,2,2,3,8,9,4,4,1,2,11,5,1,1,1,7,5,1,2,9,1,1,9,5,4,5,3,3,1,1,10,1,1,1,1,14,12
277,23,0,0,1,1,1,0,0,3,32,1,2,1,1,3,1,1,14,4,9,17,3,5,28,2,1,4,8,1,2,4,3,3,2,23,2,4,4,5,7,1,3,22,1,19,6,6,9,2,12,1,11,7,1,4,1,9,8,8,8,2,1,1,2,1,15,18,15,2,7,1,1,2,10,13,22,9,16,1,8,2,4,4,19,2,1,3,4,2,4,9,2,2,1,5,12,1,1,1,13,15,3,2,1,3,4,2,1,1
279,23,0,0,1,1,1,0,0,3,5,3,1,20,6,2,1,9,6,2,1,2,14,2,5,1,21,7,2,5,8,1,4,18,3,4,1,1,1,3,4,6,2,3,1,1,1,1,12,3,1,3,3,2,12,10,3,3,11,1,2,1,5,3,11,3,3,2,5,1,4,1,1,7,3,1,12,1,3,1,6,3,9,4,3,1,2,1,31,1,11,1,8,5,31,1,1,2,1,4,9,1,9,1,24,13,1,2,5,1
